genus,prop_endemic,species_number,new_caledonia
Posidonia,1,8,FALSE
Potamophila,1,1,FALSE
Potentilla,1,1,FALSE
Praecoxanthus,1,1,FALSE
Prasophyllum,1,124,FALSE
Prionotes,1,1,FALSE
Prostanthera,1,101,FALSE
Prumnopitys,1,2,TRUE
Psammagrostis,1,1,FALSE
Psammomoya,1,4,FALSE
Pseudanthus,1,9,FALSE
Pseudochaetochloa,1,1,FALSE
Pseudopanax,1,1,FALSE
Pseudoweinmannia,1,2,FALSE
Pseuduvaria,1,4,FALSE
Psychrophila,1,2,FALSE
Pterochaeta,1,1,FALSE
Pterygopappus,1,1,FALSE
Ptilothrix,1,1,FALSE
Ptilotus,0.9914529914529916,117,FALSE
Ptychosema,1,1,FALSE
Pullea,1,1,FALSE
Pycnosorus,1,6,FALSE
Pyrorchis,1,2,FALSE
Quinetia,1,1,FALSE
Quinqueremulus,1,1,FALSE
Quintinia,1,4,TRUE
Quisqualis,1,1,FALSE
Quoya,1,7,FALSE
Radyera,1,1,FALSE
Randia,1,3,TRUE
Reedia,1,1,FALSE
Regelia,1,5,FALSE
Rhadinothamnus,1,3,FALSE
Rhagodia,1,11,FALSE
Rhaphidospora,1,3,FALSE
Rhaponticum,1,1,FALSE
Rhetinocarpha,1,1,FALSE
Rhinerrhiza,1,1,FALSE
Rhinerrhizopsis,1,1,FALSE
Rhipidorchis,1,1,FALSE
Rhizanthella,1,4,FALSE
Rhodanthe,1,45,FALSE
Rhododendron,1,1,FALSE
Rhodosphaera,1,1,FALSE
Rhytidosporum,1,5,FALSE
Richea,1,11,FALSE
Ricinocarpos,1,28,FALSE
Rimacola,1,1,FALSE
Rinzia,1,18,FALSE
Ristantia,1,3,FALSE
Rockinghamia,1,2,FALSE
Roebuckiella,1,9,FALSE
Roepera,1,31,FALSE
Romnalda,1,2,FALSE
Rourea,1,1,TRUE
