genus,prop_endemic,species_number,nz,nc,ng,wcvp,indo2,prop_aus,n,ala,rowsums,current_knowledge
Roebuckiella,1,9,FALSE,FALSE,FALSE,FALSE,FALSE,1,866,FALSE,0,endemic
Roepera,1,31,FALSE,FALSE,TRUE,TRUE,FALSE,0.9998131050723283,26753,FALSE,2,non-endemic
Romnalda,1,2,FALSE,FALSE,FALSE,TRUE,TRUE,0.9565217391304348,138,TRUE,3,non-endemic
Rourea,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,0.7757009345794392,107,TRUE,4,non-endemic
Roycea,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,142,FALSE,0,endemic
Rumicastrum,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,1,11,FALSE,1,unclear
Rutidosis,1,9,FALSE,FALSE,FALSE,FALSE,FALSE,1,4842,FALSE,0,endemic
Ryparosa,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.5242290748898678,227,TRUE,3,non-endemic
Ryticaryum,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,0.5220588235294118,136,TRUE,2,non-endemic
Sagina,1,2,FALSE,FALSE,TRUE,TRUE,TRUE,0.772635814889336,2982,TRUE,4,non-endemic
Samadera,1,2,FALSE,FALSE,FALSE,TRUE,TRUE,0.956,500,TRUE,3,non-endemic
Sambucus,1,2,TRUE,FALSE,TRUE,TRUE,TRUE,0.9719101123595506,5696,TRUE,5,non-endemic
Sankowskya,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,60,FALSE,0,endemic
Sannantha,1,12,FALSE,TRUE,FALSE,TRUE,FALSE,0.9863760217983651,2936,TRUE,3,non-endemic
Sarcopteryx,1,5,FALSE,FALSE,FALSE,TRUE,TRUE,0.9811587376354216,2123,TRUE,3,non-endemic
Sarcotoechia,1,6,FALSE,FALSE,FALSE,TRUE,TRUE,0.9747191011235955,356,TRUE,3,non-endemic
Sarcozona,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,846,FALSE,0,endemic
Saurauia,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.12200208550573514,959,TRUE,3,non-endemic
Saxipoa,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,351,FALSE,0,endemic
Scambopus,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,28,FALSE,0,endemic
Schenkia,1,2,FALSE,TRUE,FALSE,TRUE,FALSE,0.9928032899246059,2918,FALSE,2,non-endemic
Schistocarpaea,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,103,FALSE,0,endemic
Schistotylus,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,50,FALSE,0,endemic
Schizacme,1,2,TRUE,FALSE,FALSE,TRUE,FALSE,0.9230769230769231,754,TRUE,3,non-endemic
Schizomeria,1,2,FALSE,FALSE,FALSE,TRUE,TRUE,0.8797961630695443,3336,TRUE,3,non-endemic
Schoenia,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,0.9995921696574225,2452,FALSE,0,endemic
Schoenolaena,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,211,FALSE,0,endemic
Scholtzia,1,13,FALSE,FALSE,FALSE,FALSE,FALSE,1,2029,FALSE,0,endemic
Scleroblitum,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,1553,FALSE,0,endemic
Scleroglossum,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,0.6078431372549019,102,TRUE,4,non-endemic
Scolopia,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,0.9632931305715784,1907,TRUE,4,non-endemic
Scutellaria,1,2,TRUE,FALSE,TRUE,TRUE,TRUE,0.9679673849737915,3434,TRUE,5,non-endemic
Sedopsis,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,0.99,100,FALSE,0,endemic
Selliera,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.9287262872628727,3690,TRUE,1,unclear
Selliguea,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,0,501,TRUE,4,non-endemic
Seorsus,1,2,FALSE,FALSE,FALSE,TRUE,FALSE,1,51,FALSE,1,unclear
Serichonus,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,15,FALSE,0,endemic
Seringia,1,18,FALSE,FALSE,FALSE,TRUE,FALSE,0.998215082552432,4482,FALSE,1,unclear
Serjania,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,0.4,5,TRUE,2,non-endemic
Sersalisia,1,3,FALSE,FALSE,FALSE,TRUE,FALSE,0.9901558654634947,2438,FALSE,1,unclear
Shonia,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,204,FALSE,0,endemic
Siegfriedia,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,82,FALSE,0,endemic
Siloxerus,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,2992,FALSE,0,endemic
Siphonodon,1,3,FALSE,FALSE,FALSE,TRUE,TRUE,0.9724220623501199,834,TRUE,3,non-endemic
Sloanea,1,4,FALSE,TRUE,FALSE,TRUE,TRUE,0.9346576058546785,3826,TRUE,4,non-endemic
Solenogyne,1,3,TRUE,FALSE,FALSE,TRUE,FALSE,0.9958760706355081,9457,FALSE,2,non-endemic
Solori,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,0.970494417862839,1254,TRUE,1,unclear
Sondottia,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,59,FALSE,0,endemic
Sowerbaea,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,0.9997176736307171,3542,FALSE,0,endemic
Spartochloa,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,193,FALSE,0,endemic
Spathia,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,54,FALSE,0,endemic
Sphaerantia,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,94,FALSE,0,endemic
Sphaerolobium,1,22,FALSE,FALSE,FALSE,FALSE,FALSE,0.9994610132950054,5566,FALSE,0,endemic
Sphalmium,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,137,FALSE,0,endemic
Sphenotoma,1,6,FALSE,FALSE,FALSE,FALSE,FALSE,0.99712368168744,1043,FALSE,0,endemic
Spiculaea,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,234,FALSE,0,endemic
Spiraeanthemum,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,0.5666666666666667,180,TRUE,4,non-endemic
Spirogardnera,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,55,FALSE,0,endemic
Sporadanthus,1,6,TRUE,FALSE,FALSE,TRUE,FALSE,0.9152249134948097,2312,TRUE,3,non-endemic
Spyridium,1,44,FALSE,FALSE,FALSE,FALSE,FALSE,1,20027,FALSE,0,endemic
Stachystemon,1,9,FALSE,FALSE,FALSE,FALSE,FALSE,1,563,FALSE,0,endemic
Stawellia,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,1,54,FALSE,1,unclear
Stenanthemum,1,29,FALSE,FALSE,FALSE,FALSE,FALSE,1,3226,FALSE,0,endemic
Stenanthera,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,9798,FALSE,0,endemic
Stenopetalum,1,12,FALSE,FALSE,FALSE,FALSE,FALSE,1,6505,FALSE,0,endemic
Stenostegia,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,50,FALSE,0,endemic
Stigmatodactylus,1,2,FALSE,FALSE,FALSE,TRUE,TRUE,0.9782608695652174,184,TRUE,3,non-endemic
Stirlingia,1,7,FALSE,FALSE,FALSE,FALSE,FALSE,1,1630,FALSE,0,endemic
