genus,plant_growth_form,dispersal_appendage,dispersal_syndrome,seed_dry_mass
Anthosachne,tussock,bristles,zoochory,4.79934814
Anthotroche,shrub,NA,NA,NA
Antrophyum,fern,NA,NA,NA
Aphelia,tussock,NA,undefined,0.10313066
Aphyllorchis,herb,NA,NA,NA
Apium,shrub,NA,zoochory,0.9210857142857143
Apodasmia,herb,NA,zoochory,0.8158
Capparis,tree,aril,zoochory,44.78623592857143
Apostasia,herb,NA,NA,NA
Apowollastonia,subshrub,NA,epizoochory,1.4473333333333334
Appendicula,herb,NA,NA,NA
Arabidella,subshrub,NA,barochory zoochory,0.105396
Arachniodes,fern,NA,NA,NA
Archontophoenix,tree,NA,zoochory,377.96733333333333
Ardisia,tree,NA,endozoochory,73
Arenga,tree,NA,NA,166.4228
Argusia,shrub tree,NA,NA,15.84
Aristida,tussock,none,zoochory,1.9553315098039215
Arnocrinum,herb,NA,NA,NA
Arrhenechthites,herb,NA,anemochory,1.2898876
Arthrochilus,herb,NA,anemochory,NA
Arthropteris,herb,NA,anemochory,0.001
Asparagus,shrub,NA,zoochory,37.4777
Asplenium,herb,NA,barochory,0.001
Asterolasia,tree,NA,zoochory,2.862623014285714
Astonia,herb,NA,NA,NA
Astrebla,tussock,none,epizoochory,2.39966
Atractocarpus,tree,NA,zoochory,56.837585714285716
Atriplex,subshrub,NA,zoochory,3.502694645132743
Auranticarpa,tree,NA,endozoochory,14.6366
Australopyrum,tussock,hooks,epizoochory,3.723072727272727
Austrochloris,herb,NA,NA,NA
Rytidosperma,tussock,none,zoochory,1.7617114285714286
Hookerochloa,tussock,none,epizoochory,NA
Poa,tussock,none,undefined,0.42644501282051284
Austrostipa,tussock,none,zoochory,0.84534640625
Avicennia,tree,NA,hydrochory,3400
Azolla,herb,NA,hydrochory,0.001
Baileyoxylon,tree,NA,NA,1700
Balanophora,herb,NA,NA,NA
Ballantinia,herb,NA,barochory zoochory,0.084
Baloghia,tree,NA,ballistic,53.9224
Baloskion,tussock,NA,zoochory,0.11377142857142857
Bambusa,tussock,none,hydrochory,NA
Barbarea,herb,NA,barochory zoochory,0.81658
Barringtonia,tree,NA,hydrochory,5181.5
Batis,shrub,NA,NA,NA
Baxteria,herb,NA,NA,NA
Bedfordia,tree,pappus,anemochory,0.7065666666666667
Belvisia,fern,NA,NA,NA
Benstonea,tree,NA,endozoochory,17
Benthamina,shrub,NA,NA,NA
Bentleya,shrub,NA,NA,1.4810466666666666
Berberidopsis,climber_woody,NA,NA,0.932
Bergia,herb,NA,epizoochory,0.0348799
Bertya,tree,NA,zoochory,16.55394282
Billardiera,shrub,none,zoochory,2.1010377906976743
Biophytum,herb,NA,NA,NA
Blackallia,shrub,NA,NA,NA
Blainvillea,shrub,NA,NA,3.778092
Blancoa,herb,NA,NA,3.4436
Blechnum,herb,NA,barochory,0.001
Blennodia,herb,NA,NA,0.25476
Blumea,shrub,NA,anemochory,0.04297818181818182
Blyxa,herb,NA,NA,NA
Boerhavia,herb subshrub,NA,zoochory,2.3452352941176473
Bolbitis,fern,NA,NA,NA
Boronia,subshrub,none,zoochory,3.47738315
Bosistoa,tree,NA,NA,NA
Botrychium,herb,NA,anemochory,0.019814850000000002
Bouchardatia,tree,NA,NA,NA
Cynodon,tussock,none,zoochory,0.2484222222222222
Brachypeza,herb,NA,NA,NA
Brachyscome,subshrub,wings,zoochory,0.29228339338235293
Brachystelma,herb,NA,NA,NA
Brackenridgea,tree,NA,NA,NA
Brasenia,herb,NA,epizoochory,6.7775
Breynia,tree,elaiosome,zoochory,8.8795
Bridelia,tree,NA,zoochory,32.39986666666667
Brombya,tree,NA,NA,NA
Bromheadia,herb,NA,NA,NA
Bromus,herb,NA,epizoochory myrmecochory,2.2874316
Eria,herb,NA,NA,NA
Bryobium,herb,NA,NA,NA
Buckinghamia,tree,NA,NA,24.156
Burchardia,herb,NA,undefined,1.2686589743589745
Burnettia,herb,NA,anemochory,NA
Bursaria,tree,NA,undefined,1.9774777777777777
Butomopsis,herb,NA,NA,0.04066
Cadaba,shrub,NA,NA,NA
Cadetia,herb,NA,NA,NA
Caladenia,herb mallee shrub,NA,barochory,0.0019445875
Cyanicula,herb,NA,anemochory,0.0038
Calamus,palmoid,NA,zoochory,182.942
Calanthe,herb,NA,NA,NA
Caldesia,herb,NA,NA,5.5368
Caleana,herb,NA,barochory,0.001
Calectasia,subshrub,NA,barochory,7.5267857
Calochilus,herb,NA,barochory,0.0017333333333333335
Calochlaena,herb,NA,anemochory,0.001
Calophyllum,tree,NA,hydrochory,3886.746
Calorophus,herb,NA,zoochory,NA
Calostemma,herb,NA,barochory,NA
Calymmodon,fern,NA,NA,NA
Calystegia,herb,NA,zoochory,35.294313455
Canscora,herb,NA,NA,0.0576
Capillipedium,tussock,none,epizoochory,0.3812
Cardamine,herb,none,zoochory,0.38017816666666665
Carex,tussock,none,zoochory,1.1520062636792452
Carinavalva,herb,NA,NA,0.1604
Carissa,shrub,NA,endozoochory,68.86838013333333
Carmichaelia,shrub,NA,NA,15.6714286
Carpentaria,tree,NA,zoochory,NA
Carpobrotus,shrub,none,endozoochory,0.19166666666666668
Carronia,climber_woody,NA,endozoochory,141
Caryota,tree,NA,NA,NA
Casearia,tree,NA,endozoochory,6.666666666666667
Cassinia,tree,pappus,anemochory,0.11660010681818182
Catacolea,herb,NA,NA,NA
Cecarria,shrub,NA,NA,NA
Schenkia,herb,NA,zoochory,0.047
Centipeda,herb,none,undefined,0.09709565
Centratherum,herb,NA,NA,NA
Centrolepis,tussock,bristles,undefined,0.043728461538461535
Centropappus,tree,pappus,anemochory,0.5276
Cerbera,tree,NA,NA,13000
Ceropegia,herb,NA,NA,NA
Chaetanthus,herb,NA,NA,0.562
Schoenus,tussock,none,zoochory,0.715695534883721
Chamaexeros,herb,NA,NA,NA
Pachycladon,herb,NA,NA,1.4896
Cheilanthes,herb,NA,barochory,0.16262000000000001
Cheiranthera,subshrub,none,zoochory,2.9421
Cheirostylis,herb,NA,NA,NA
Chenopodium,subshrub,NA,zoochory,0.4299272727272727
Dysphania,herb,NA,epizoochory,0.09825806451612903
Chiloglottis,herb,NA,anemochory,0.001
Chiloschista,herb,NA,NA,NA
Chingia,fern,NA,NA,NA
Chionachne,tussock,none,anemochory,NA
Chionanthus,tree,NA,endozoochory,369.923
Chionochloa,tussock,NA,epizoochory,1.9086444444444444
Chisocheton,tree,NA,zoochory,3600
Chloris,tussock,none,epizoochory,0.23641428571428572
Chlorophytum,herb,NA,barochory,4.26
Chordifex,herb,elaiosome,myrmecochory,0.7275025
Chorilaena,tree,NA,NA,2.186
Christella,herb,NA,anemochory,0.001
Citrus,tree,NA,endozoochory,18.08
Cladopus,herb,NA,NA,NA
Claoxylon,tree,fleshy_reward,myrmecochory zoochory,10.42725
Clausena,tree,NA,NA,72
Arivela,subshrub,elaiosome,barochory,1.1360931
Areocleome,herb,NA,NA,0.21672
Coatesia,tree,NA,NA,NA
Coccinia,herb,NA,NA,11.793028571428572
