genus,prop_endemic,species_number,nz,nc,ng,indo,wcvp
Diodontium,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Diplarrena,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Diplaspis,1,3,FALSE,FALSE,FALSE,TRUE,FALSE
Diplatia,1,3,FALSE,FALSE,FALSE,TRUE,FALSE
Diplocaulobium,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Diplolaena,1,15,FALSE,FALSE,FALSE,TRUE,FALSE
Diplopeltis,1,5,FALSE,FALSE,FALSE,TRUE,FALSE
Dipteracanthus,1,3,FALSE,FALSE,TRUE,TRUE,TRUE
Discaria,1,2,TRUE,FALSE,FALSE,TRUE,TRUE
Diselma,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Disphyma,1,1,TRUE,FALSE,TRUE,TRUE,TRUE
Dissiliaria,1,5,FALSE,FALSE,FALSE,TRUE,FALSE
Dissocarpus,1,4,FALSE,FALSE,FALSE,TRUE,FALSE
Distichlis,1,1,TRUE,FALSE,FALSE,TRUE,TRUE
Dithyrostegia,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Diuris,1,99,FALSE,FALSE,FALSE,TRUE,TRUE
Dockrillia,1,20,FALSE,FALSE,FALSE,FALSE,FALSE
Doryanthes,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Doryphora,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Drabastrum,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Dracophyllum,1,7,TRUE,TRUE,FALSE,TRUE,TRUE
Drakaea,1,10,FALSE,FALSE,FALSE,TRUE,FALSE
Drummondita,1,10,FALSE,FALSE,FALSE,TRUE,FALSE
Dryadodaphne,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Drymoanthus,1,1,TRUE,TRUE,FALSE,TRUE,TRUE
Drymophila,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Dryopoa,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Dubouzetia,1,2,FALSE,TRUE,FALSE,TRUE,TRUE
Duma,1,3,FALSE,FALSE,FALSE,TRUE,TRUE
Duperreya,1,3,FALSE,FALSE,FALSE,TRUE,FALSE
Durringtonia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Ecdeiocolea,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Echinostephia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Eidothea,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Elachanthus,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Elacholoma,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Elattostachys,1,5,FALSE,TRUE,FALSE,TRUE,TRUE
Elythranthera,1,2,FALSE,FALSE,FALSE,FALSE,FALSE
