genus,prop_endemic,species_number,nz,nc,ng,wcvp,indo2,prop_aus,n,ala,rowsums,current_knowledge,reason,Least Concern,Critically Endangered,Endangered,Near Threatened,Vulnerable,Data Deficient,Lower Risk/near threatened,Lower Risk/conservation dependent,Extinct
Amorphospermum,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,1,263,FALSE,1,endemic,"records from 1950s, PNG occurence from NSW Bot Gardens",0,0,0,0,0,0,0,0,0
Ampelocissus,0.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Ampelopteris,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Amperea,1,8,FALSE,FALSE,FALSE,FALSE,FALSE,1,13546,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Amphibolis,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,2817,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Amphibromus,0.9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Amphineuron,0.75,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Amphipogon,1,9,FALSE,FALSE,FALSE,FALSE,FALSE,1,5566,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Amyema,0.8461538461538461,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Amylotheca,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Anacampseros,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,0.981481481481482,216,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Anacolosa,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Anarthria,1,6,FALSE,FALSE,FALSE,FALSE,FALSE,1,2021,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Ancistrachne,1,2,FALSE,TRUE,FALSE,TRUE,TRUE,0.991886409736308,986,FALSE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Andersonia,1,29,FALSE,FALSE,FALSE,FALSE,FALSE,1,3559,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Androcalva,1,33,FALSE,FALSE,FALSE,FALSE,FALSE,1,3903,FALSE,0,endemic,NA,2,0,0,0,0,0,0,0,0
Androstoma,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,0.292565947242206,417,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Aneilema,0.75,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Anemocarpa,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,862,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Anemone,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,0.214218009478673,1055,TRUE,5,non-endemic,NA,0,0,0,0,0,0,0,0,0
