Family,Genus,Sp1,Author1,Rank1,Sp2,Author2,Rank2,Sp3,Author3,TaxStat,Accepted,Ecology
Apocynaceae,Brachystelma,chloranthum,(Schltr.) Peckover,,,,,,,Synonym,Ceropegia chlorantha (Schltr.) Bruyns,Indigenous
Asteraceae,Senecio,asperulus,DC.,,,,,,,Accepted,,Indigenous
Asteraceae,Eriocephalus,africanus,L.,var.,africanus,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Crassothonna,floribunda,(Schltr.) B.Nord.,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Hymenolepis,calva,Magoswana & Magee,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Orbivestus,cinerascens,(Sch.Bip.) H.Rob.,,,,,,,Accepted,,Indigenous
Aizoaceae,Psilocaulon,pomeridianum,L.Bolus,,,,,,,Synonym,Mesembryanthemum stenandrum (L.Bolus) L.Bolus,Indigenous
Apocynaceae,Microloma,longitubum,Schltr.,,,,,,,Accepted,,Indigenous
Restionaceae,Restio,nubigenus,(Esterh.) H.P.Linder & C.R.Hardy,,,,,,,Accepted,,Indigenous; Endemic
Euphorbiaceae,Sclerocroton,integerrimus,Hochst.,,,,,,,Accepted,,Indigenous
Malvaceae,Hermannia,cuneifolia,Jacq.,var.,cuneifolia,,,,,Accepted,,Indigenous
Bruniaceae,Brunia,verticillata,L.f.,,,,,,,Synonym,Staavia verticillata (L.f.) Pillans,Indigenous; Endemic
Aizoaceae,Conophytum,prolongatum,L.Bolus,,,,,,,Synonym,Conophytum uviforme (Haw.) N.E.Br. subsp. uviforme,Present
Aizoaceae,Nananthus,jamesii,(L.Bolus) L.Bolus,,,,,,,Synonym,Aloinopsis rubrolineata (N.E.Br.) Schwantes,Indigenous
Fabaceae,Aspalathus,heterophylla,L.f.,,,,,,,Accepted,,Indigenous; Endemic
Asphodelaceae,Aloe,striata,Haw.,subsp.,karasbergensis,(Pillans) Glen & D.S.Hardy,,,,Synonym,Aloe karasbergensis Pillans,Indigenous
Campanulaceae,Wahlenbergia,denudata,A.DC.,,,,,,,Accepted,,Indigenous; Endemic
Orchidaceae,Herschelianthe,purpurascens,(Bolus) Rauschert,,,,,,,Synonym,Disa purpurascens Bolus,Indigenous
Fabaceae,Chasmone,stricta,E.Mey.,,,,,,,Synonym,Argyrolobium pauciflorum Eckl. & Zeyh.,Present
Apiaceae,Ammi,majus,L.,var.,glaucifolium,(L.) Godr.,,,,Accepted,,Not indigenous; Naturalised; Invasive
Cyperaceae,Cyperus,tenax,Boeckeler,,,,,,,Accepted,,Indigenous
Violaceae,Afrohybanthus,caffer,(Sond.) Flicker,,,,,,,Accepted,,Indigenous
Gentianaceae,Sebaea,ambigua,Cham.,,,,,,,Accepted,,Indigenous; Endemic
Scrophulariaceae,Jamesbrittenia,aurantiaca,(Burch.) Hilliard,,,,,,,Accepted,,Indigenous
Cyperaceae,Cyperus,vorsteri,K.L.Wilson,,,,,,,Accepted,,Indigenous; Endemic
Lamiaceae,Syncolostemon,ramulosus,E.Mey. ex Benth.,,,,,,,Accepted,,Indigenous; Endemic
Scrophulariaceae,Oftia,africana,(L.) Bocq.,,,,,,,Accepted,,Indigenous; Endemic
Lamiaceae,Plectranthus,cylindraceus,Hochst. ex Benth.,,,,,,,Synonym,Plectranthus montanus Benth.,Indigenous
Cyperaceae,Cyperus,macrocarpus,(Kunth) Boeckeler,var.,pseudoflavus,Kuk.,,,,Synonym,Cyperus cyperoides (L.) Kuntze subsp. pseudoflavus (Kuk.) Lye,Indigenous
Cyperaceae,Carex,acutiformis,Ehrh.,,,,,,,Accepted,,Not indigenous; Naturalised
Hyacinthaceae,Drimia,sanguinea,(Schinz) Jessop,,,,,,,Accepted,,Indigenous
Orchidaceae,Disa,venosa,Sw.,,,,,,,Accepted,,Indigenous; Endemic
Bryaceae,Bryum,ruderale,Crundw. & Nyholm,,,,,,,Synonym,Gemmabryum ruderale (Crundw. & Nyholm) J.R.Spence,Indigenous
Aizoaceae,Delosperma,cloeteae,Lavis,,,,,,,Accepted,,Indigenous; Endemic
Rhamnaceae,Phylica,callosa,L.f.,,,,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Mesembryanthemum,melanospermum,Dinter,,,,,,,Synonym,Mesembryanthemum ligneum (L.Bolus) Klak,Indigenous
Euphorbiaceae,Manihot,esculenta,Crantz,,,,,,,Accepted,,Not indigenous; Cultivated; Naturalised
Poaceae,Andropogon,laxatus,Stapf,,,,,,,Accepted,,Indigenous
Amaranthaceae,Oxybasis,rubra,"(L.) S.Fuentes, Uotila & Borsch",,,,,,,Accepted,,Not indigenous; Naturalised; Invasive
Iridaceae,Watsonia,humilis,Mill.,,,,,,,Accepted,,Indigenous; Endemic
Sapindaceae,Cardiospermum,microcarpum,Kunth,,,,,,,Synonym,Cardiospermum halicacabum L. var. microcarpum (Kunth) Blume,
Ricciaceae,Riccia,trichocarpa,M.Howe,,,,,,,Synonym,Riccia crinita Taylor,Indigenous
Vitaceae,Cyphostemma,spinosopilosum,(Gilg & M.Brandt) Desc.,,,,,,,Accepted,,Indigenous
Fabaceae,Melilotus,indicus,(L.) All.,,,,,,,Accepted,,Not indigenous; Naturalised; Invasive
Polygalaceae,Muraltia,parvifolia,N.E.Br.,,,,,,,Accepted,,Indigenous; Endemic
Proteaceae,Leucospermum,mixtum,E.Phillips,,,,,,,Synonym,Leucospermum cordifolium (Salisb. ex Knight) Fourc.,Indigenous
Aizoaceae,Phyllobolus,pearsonii,N.E.Br. ex S.A.Hammer,,,,,,,Synonym,Mesembryanthemum resurgens Kensit,Indigenous
Orchidaceae,Holothrix,pilosa,(Burch. ex Lindl.) Rchb.f.,,,,,,,Accepted,,Indigenous; Endemic
Iridaceae,Romulea,eburnea,J.C.Manning & Goldblatt,,,,,,,Accepted,,Indigenous; Endemic
